# name ra dec ebv dist dist_err phot_g_mean_mag bp_rp
hd122563 210.63269043 9.68609619141 0.0213 318.0 4.0 5.87496 1.218804
ret2_mem 54.032367288483485 -54.043202554015295 0.0155 30.2 3.0 16.900171 1.065945
ret2_cand 54.11534188819804  -53.97395817023063 0.0148 30.2 3.0 16.413347 1.317541
cra2_gdr32672 176.99663811772 -18.17796387351 0.0305 117.5 1.1 17.396591 1.514427
cra2_gdr36912 177.53613366567 -18.30407348346 0.0269 117.5 1.1 17.438469 1.426128
sgr2_gdr35584 298.1623799240772 -22.077479001466052 0.0945 73.1 1.0 16.96482 1.4810028
sgr2_gdr32656 298.1814754239601 -22.077348449579663 0.0936 73.1 1.0 18.409101 1.1939106
sgr2_gdr39936 298.15343529051364 -22.049594836842765 0.0954 73.1 1.0 17.308119 1.3915062
aqu2_gdr33776 338.5352319111589 -9.327798072303148 0.0561 107.6 3.6 18.78467 1.4043884
aqu2_gdr31472 338.4695647820899 -9.28585488153881 0.0575 107.6 3.6 18.78599 1.1961269
