# wave rel_strength element
3500.16 0.017 Fe
3500.33 0.094 Ti
3500.56 0.144 Fe
3500.85 0.075 Ni
3501.57 0.015 Fe
3501.71 0.111 Co
3502.22 0.072 Co
3502.33 0.070 Co
3502.57 0.056 Ni
3502.65 0.078 Co
3503.47 0.126 Fe
3504.43 0.137 V
3504.84 0.049 Fe
3504.92 0.060 Ti
3505.06 0.140 Fe
3505.48 0.087 Zr
3505.68 0.131 Zr
3505.89 0.057 Ti
3506.05 0.021 Zr
3506.23 0.043 Fe
3506.29 0.073 Co
3506.34 0.074 Co
3506.53 0.133 Fe
3506.64 0.036 Ti
3507.14 0.064 Fe
3507.39 0.099 Fe
3507.78 0.017 Co
3508.21 0.121 Fe
3508.49 0.219 Fe
3509.12 0.048 Fe
3509.72 0.089 Fe
3509.75 0.013 Ni
3509.82 0.064 Co
3509.89 0.017 Fe
3510.18 0.020 Fe
3510.27 0.095 Ni
3510.43 0.044 Co
3510.51 0.016 Ni
3510.56 0.062 Fe
3510.84 0.087 Ti
3511.74 0.051 Fe
3511.83 0.117 Cr
3511.89 0.023 Ni
3512.22 0.115 Fe
3512.63 0.083 Co
3512.80 0.036 Fe
3513.04 0.140 Fe
3513.48 0.084 Co
3513.61 0.033 Fe
3513.76 0.090 Fe
3513.86 0.074 Fe
3513.97 0.181 Ni
3514.63 0.113 Fe
3514.79 0.015 Fe
3514.97 0.151 Ni
3515.14 0.150 Ni
3516.00 0.013 V
3516.41 0.122 Fe
3516.56 0.141 Fe
3516.94 0.023 Pd
3517.30 0.123 V
3517.48 0.011 Co
3518.33 0.109 Co
3518.63 0.083 Ni
3518.68 0.105 Fe
3518.87 0.144 Fe
3519.59 0.014 Zr
3519.77 0.082 Ni
3520.01 0.083 V
3520.01 0.025 Fe
3520.08 0.101 Co
3520.25 0.123 Ti
3520.84 0.103 Fe
3520.88 0.027 Zr
3521.20 0.095 Fe
3521.33 0.096 Fe
3521.54 0.107 Co
3521.64 0.018 Fe
3521.84 0.129 Fe
3522.27 0.146 Fe
3522.44 0.012 Fe
3522.90 0.128 Fe
3523.07 0.143 Ni
3523.18 0.029 Fe
3523.31 0.125 Fe
3523.41 0.069 Co
3523.48 0.014 Ni
3523.70 0.047 Co
3523.79 0.012 Ni
3523.96 0.013 Ni
3524.06 0.160 Fe
3524.16 0.026 Ni
3524.24 0.102 Fe
3524.43 0.207 Ni
3524.63 0.193 Ni
3524.72 0.105 V
3524.77 0.067 Ni
3525.80 0.089 Zr
3525.97 0.095 Fe
3526.11 0.115 Fe
3526.25 0.125 Fe
3526.42 0.134 Fe
3526.54 0.016 Ni
3526.68 0.112 Fe
3526.81 0.071 Co
3526.89 0.071 Co
3526.96 0.023 Fe
3527.42 0.014 Zr
3527.81 0.120 Fe
3527.98 0.106 Ni
3528.29 0.034 Fe
3528.89 0.014 Ni
3528.94 0.130 Fe
3529.04 0.091 Co
3529.52 0.054 Fe
3529.62 0.011 Ni
3529.78 0.070 Co
3529.99 0.013 Zr
3530.39 0.144 Fe
3530.59 0.052 Ni
3530.77 0.140 V
3530.96 0.016 Fe
3531.44 0.120 Fe
3531.49 0.021 V
3531.83 0.071 Mn
3531.85 0.016 Fe
3532.01 0.117 Mn
3532.10 0.119 Mn
3532.57 0.109 Fe
3533.01 0.108 Fe
3533.08 0.019 Co
3533.20 0.094 Fe
3533.36 0.106 Co
3533.85 0.088 Ti
3534.53 0.052 Fe
3534.68 0.059 Fe
3534.91 0.142 Fe
3535.41 0.111 Ti
3535.71 0.106 Sc
3536.56 0.090 Fe
3536.94 0.044 Zr
3537.49 0.140 Fe
3537.72 0.145 Fe
3537.89 0.136 Fe
3538.24 0.052 V
3538.30 0.101 Fe
3538.55 0.111 Fe
3538.79 0.016 Fe
3540.12 0.136 Fe
3540.76 0.110 Fe
3541.08 0.087 Fe
3542.08 0.088 Fe
3542.25 0.157 Fe
3542.56 0.015 Fe
3542.64 0.057 Zr
3543.26 0.099 Co
3543.38 0.115 Fe
3543.67 0.113 Fe
3544.24 0.013 Ni
3544.63 0.113 Fe
3545.02 0.017 Co
3545.15 0.013 Ni
3545.20 0.121 V
3545.64 0.111 Fe
3545.83 0.061 Fe
3546.20 0.049 Fe
3546.70 0.019 Co
3546.78 0.019 Fe
3547.03 0.016 Ti
3547.20 0.166 Fe
3547.69 0.017 Zr
3547.80 0.122 Mn
3547.90 0.146 Fe
3548.03 0.085 Mn
3548.18 0.079 Ni
3548.44 0.038 Co
3549.00 0.137 Y
3549.51 0.020 Zr
3549.51 0.020 Zr
3549.86 0.148 Fe
3550.59 0.157 Co
3551.11 0.039 Fe
3551.53 0.104 Ni
3551.94 0.123 Zr
3552.11 0.099 Fe
3552.43 0.039 Fe
3552.72 0.092 Co
3552.84 0.118 Fe
3552.99 0.043 Co
3553.08 0.013 Pd
3553.43 0.015 Fe
3553.48 0.140 Ni
3553.74 0.121 Fe
3554.12 0.083 Fe
3554.49 0.168 Fe
3554.64 0.052 Fe
3554.93 0.080 Fe
3555.45 0.048 Fe
3556.58 0.137 Zr
3556.68 0.126 Fe
3556.80 0.101 V
3556.89 0.086 Fe
3558.43 0.131 Fe
3558.58 0.029 Sc
3558.62 0.082 Fe
3558.78 0.122 Co
3559.48 0.190 Fe
3559.92 0.021 Ni
3560.07 0.148 Fe
3560.30 0.012 Co
3560.59 0.093 V
3560.70 0.126 Fe
3560.89 0.124 Co
3561.10 0.022 Co
3561.58 0.131 Ti
3561.75 0.126 Ni
3561.89 0.135 Ti
3562.10 0.017 Co
3562.13 0.013 Fe
3562.26 0.036 Fe
3562.59 0.026 Fe
3562.91 0.030 Co
3564.11 0.114 Fe
3564.54 0.164 Fe
3564.67 0.012 Ni
3564.80 0.021 Fe
3564.95 0.180 Co
3565.25 0.137 Fe
3565.29 0.036 Ti
3565.49 0.208 Fe
3565.82 0.061 Fe
3565.97 0.144 Ti
3566.08 0.012 Fe
3566.11 0.011 Cr
3566.18 0.127 V
3566.27 0.035 Ni
3566.30 0.083 Fe
3566.44 0.096 Ni
3566.58 0.077 Fe
3567.03 0.147 Fe
3567.37 0.102 Fe
3567.68 0.086 Sc
3567.75 0.019 Fe
3568.14 0.017 Zr
3568.43 0.108 Fe
3568.62 0.010 Fe
3568.82 0.130 Fe
3568.97 0.146 Fe
3569.25 0.014 Fe
3569.38 0.081 Co
3569.49 0.140 Mn
3569.80 0.081 Mn
3569.95 0.217 Fe
3570.19 0.144 Fe
3570.33 0.148 Fe
3571.22 0.147 Fe
3571.86 0.074 Ni
3572.00 0.098 Fe
3572.31 0.034 Fe
3572.45 0.049 Zr
3572.57 0.034 Sc
3572.61 0.058 Fe
3573.05 0.027 Fe
3573.06 0.083 Zr
3573.39 0.125 Fe
